metric,value
run_a_id,5166e204581747f9b63e846b0722d7f8
run_b_id,efd7dfa6d36941419983b62e6000d5c4
,
cycle_time_a_cycle1_s,14.1201
cycle_time_a_cycle2_s,14.1278
cycle_time_a_cycle3_s,14.1197
cycle_time_b_cycle1_s,16.9687
cycle_time_b_cycle2_s,16.9678
cycle_time_b_cycle3_s,16.9755
cycle_time_a_mean_s,14.1225
cycle_time_a_std_s,0.0037
cycle_time_b_mean_s,16.9707
cycle_time_b_std_s,0.0034
,
joint_rmse_j1_rad,0.568857
joint_rmse_j2_rad,0.146177
joint_rmse_j3_rad,0.444284
joint_rmse_j4_rad,0.119863
joint_rmse_j5_rad,0.618633
joint_rmse_j6_rad,0.000020
joint_rmse_combined_rad,0.395691
,
tcp_path_rms_deviation_m,0.186855
tcp_path_std_deviation_m,0.110895
,
rms_current_a_j1_A,0.3170
rms_current_a_j2_A,0.3011
rms_current_a_j3_A,0.6712
rms_current_a_j4_A,0.2828
rms_current_a_j5_A,0.2494
rms_current_a_j6_A,0.1231
std_current_a_j1_A,0.3043
std_current_a_j2_A,0.2571
std_current_a_j3_A,0.3991
std_current_a_j4_A,0.2458
std_current_a_j5_A,0.2494
std_current_a_j6_A,0.0135
rms_current_b_j1_A,0.0166
rms_current_b_j2_A,0.2399
rms_current_b_j3_A,0.6005
rms_current_b_j4_A,0.1806
rms_current_b_j5_A,0.0090
rms_current_b_j6_A,0.0000
std_current_b_j1_A,0.0166
std_current_b_j2_A,0.1673
std_current_b_j3_A,0.2714
std_current_b_j4_A,0.0748
std_current_b_j5_A,0.0081
std_current_b_j6_A,0.0000
